154.784424,-114.41198,733.261597,11.916641,-7.773568,12.944092,19.23497361
142.867783,-106.638412,720.317505,13.275773,12.508683,-5.291321,18.99240314
129.59201,-119.147095,725.608826,-11.769425,7.645759,-12.159668,18.56972055
141.361435,-126.792854,737.768494,-13.422989,-12.380874,4.506897,18.80890202
154.784424,-114.41198,733.261597,145.784424,,,
9,,,,,,
-43.648823,-65.637581,604.115601,-16.96344,2.405929,-8.463562,19.10964868
-26.685383,-68.04351,612.579163,-6.8342,-14.745079,9.33252,18.74085307
-19.851183,-53.298431,603.246643,16.847876,-2.364112,9.105347,19.29630263
-36.699059,-50.934319,594.141296,6.949764,14.703262,-9.974305,19.07804742
-43.648823,-65.637581,604.115601,,,,
14,,,,,,
40.28653,-169.128174,729.685669,-7.599327,-14.499771,9.326782,18.8409658
47.885857,-154.628403,720.358887,17.010554,-2.394852,9.922425,19.83806395
30.875303,-152.233551,710.436462,7.220522,14.366867,-9.827332,18.84460824
23.654781,-166.600418,720.263794,-16.631749,2.527756,-9.421875,19.28150289
40.28653,-169.128174,729.685669,,,,
19,,,,,,
-14.718485,-132.259094,673.55304,,,,
-24.080597,-122.038193,660.31842,,,,
-39.966137,-132.14238,662.661438,,,,
-30.224728,-142.705902,675.93689,,,,
24,,,,,,
50.746258,2.224211,585.995056,,,,
36.850864,8.071968,574.592712,,,,
25.507463,-4.934503,581.300903,,,,
39.616039,-11.12799,591.994141,,,,
29,,,,,,
133.939789,-2.421237,626.355896,,,,
135.834824,12.428507,614.483276,,,,
117.915138,10.145513,608.536194,,,,
115.93573,-4.714023,620.277344,,,,
34,,,,,,
164.939941,-38.758934,670.895447,,,,
164.129105,-53.251575,683.888184,,,,
182.270401,-49.856663,688.905273,,,,
182.636505,-35.248833,676.984558,,,,
