Agle, Axis 14.450342651503544, -0.130060538666701, -0.833758314700213, ,-0.536592330312303,-42.302316861603352,-322.08643,510.711916377376497,148.036741929093296,-32.493108302951292,14.463417899391402,-150.713270869243047,12.114233037828789
Agle, Axis 7.134582099903070, 0.132309391830121, 0.833682394856321, ,0.536160320557361,-42.250829428905007,-322.00859,511.121508580712430,-74.682465650685259,8.789165190390996,4.919076424285208,74.028182361951337,-13.775690672524368
Agle, Axis 14.242726245076312, 0.131980179055774, 0.833514174015865, ,0.536502892863641,-42.260607389269161,-322.18150,510.939292467398445,-148.583728853177263,12.392704718286401,17.582061810268897,145.985728453487269,-32.199037723847816
Agle, Axis 21.431779530497057, 0.131697337055119, 0.833494638643412, ,0.536602738313250,-42.146706110842715,-322.27413,510.926151551354792,-221.675588904698742,10.765486234979232,38.129637705362484,215.846976989225539,-55.333876793610948
Agle, Axis 28.701916552875961, 0.131380828719061, 0.833677271592700, ,0.536396574070756,-41.967512308678515,-322.27034,511.157596365138488,-292.785123726020117,3.753596451156628,66.522273513561800,282.472035326477453,-82.948247553557891
Agle, Axis 35.975125452834078, 0.131688856352403, 0.833718403506372, ,0.536257092043902,-42.024491691424927,-322.26396,511.343446584815410,-359.907047303545710,-8.295139470492959,102.116491898739696,343.876560590992597,-114.634321099408609
Agle, Axis 43.125889551541377, 0.131497171825331, 0.833824574268019, ,0.536139042738632,-41.968470341237278,-322.26878,511.498592914725009,-420.936496452014012,-25.243210824550623,143.519416433644210,398.261221658455554,-148.876387846218165
Agle, Axis 50.254882422269262, 0.131564580614664, 0.833872612912903, ,0.536047783841604,-42.058220530878266,-322.24790,511.609378359292180,-475.931893810677821,-46.620964572924059,190.454355797492440,445.597274211802983,-185.801316886467816
Agle, Axis 57.461958015588735, 0.131426954038390, 0.834065265303035, ,0.535781754977873,-42.082011952218430,-322.15496,511.829616338374024,-524.765851355545692,-72.627059639615439,242.986126901247417,485.870243326859281,-225.134676065698727
Agle, Axis 64.753239596090708, 0.131359888233505, 0.834194799631449, ,0.535596504872024,-42.160127048566721,-322.07790,511.978426333734774,-566.411765346183074,-102.905127243419116,300.418731027429317,518.055585108255286,-266.506871546609943
Agle, Axis 72.027438873478474, 0.131088692763399, 0.834329696848076, ,0.535452809860011,-42.274243318477147,-321.96098,512.021364833451344,-599.488260497659326,-136.768986471384579,360.929855389879663,541.028183252119675,-308.463429990368866
Agle, Axis 79.186815840729167, 0.131072047138000, 0.834401097361498, ,0.535345614702298,-42.392834699666530,-321.87726,512.064066849748542,-623.309821936202752,-172.852661558140198,422.962395577497887,554.430570096565020,-350.128753787890275
Agle, Axis 86.310074767648814, 0.130815537472369, 0.834491940512658, ,0.535266752540482,-42.397659855548007,-321.82174,512.088449209549026,-637.959002686088411,-211.222319510246280,486.087522734684740,558.620842294287513,-390.998296823564829
Agle, Axis 93.506396228120110, 0.130699110174298, 0.834523966970060, ,0.535245262615373,-42.446434089459771,-321.77966,512.065340954157477,-643.429567012537291,-251.647632716204470,550.218909657144195,553.344650378075812,-431.271775999866179
Agle, Axis 100.776804750518522, 0.130423499340009, 0.834580138739910, ,0.535224908651288,-42.427173632590318,-321.75322,512.050816486025496,-639.296127019479400,-293.697875544025180,614.431110676428489,538.575401028022384,-470.133782829737868
Agle, Axis 108.039788857289125, 0.130279315489294, 0.834665124438241, ,0.535127489484643,-42.425975478284158,-321.69763,512.096701238831656,-625.625930823691078,-336.023713602393741,677.036219442798256,514.497245991506134,-506.616543700814645
Agle, Axis 115.177903445653556, 0.130163632583365, 0.834737081626258, ,0.535043393857714,-42.433636983103042,-321.63727,512.118968363712838,-603.061002327125266,-377.374692688911523,735.965684436868969,482.088623202377505,-539.568287214755060
Agle, Axis 122.287884484826719, 0.130046679509453, 0.834709278914055, ,0.535115203337883,-42.430547765550713,-321.65585,512.052495227463623,-571.898648615493244,-417.785623985292773,791.128203375347084,441.706998715299562,-569.166185910894797
Agle, Axis 129.462356170143124, 0.129835188522794, 0.834758865530056, ,0.535089207740378,-42.377715561855453,-321.64459,512.060017672476761,-532.164790633869302,-457.051458851531606,842.559976447603731,393.541261229830184,-595.093690117797678
Agle, Axis 136.731917749084460, 0.129738770168104, 0.834756790410725, ,0.535115830805305,-42.369235846676318,-321.64730,512.027828463456899,-484.124866649246428,-494.615669059493825,889.332185087880816,337.683674918298323,-617.096930193501294
Agle, Axis 143.988993742223016, 0.129662267333467, 0.834741288454515, ,0.535158553869076,-42.357298109037984,-321.67819,512.016877134644687,-429.091502088858135,-529.338809715658613,930.043257850891109,275.850923842998895,-634.431173424612666
Agle, Axis 151.127333726830045, 0.129558223617920, 0.834740382825562, ,0.535185164193854,-42.336700037591172,-321.70062,512.012641875149257,-368.889124557166667,-560.238133256350807,963.570016659118210,210.067656761915202,-646.586330465123979
Agle, Axis 158.227397331328348, 0.129432493038505, 0.834686701139605, ,0.535299300099039,-42.313549460667716,-321.75948,511.947441539626766,-303.962691750204499,-587.363526465757786,989.863825541308643,140.745508898711563,-653.767897294222280
Agle, Axis 165.407237545332379, 0.129333299344381, 0.834648658140046, ,0.535382587637773,-42.299995139218183,-321.83378,511.949655435125180,-234.259111254673599,-610.611554660350635,1009.159806690347182,67.788240130672648,-655.959509461157154
Agle, Axis 172.683164860580177, 0.129336658454390, 0.834620313608464, ,0.535425962101168,-42.325943253663766,-321.86452,511.945588606105161,-160.623634643760965,-629.478143042437068,1020.724705107688123,-7.990822773787315,-652.738071174622860
Agle, Axis 136.876471872678621, -0.129108692255287, -0.834236879945072, ,-0.536078141434288,-42.642556198477266,-322.28547,511.805895955808012,336.303955198084452,-617.627833532934687,881.677082019474938,-483.837107718598304,-497.403635585703114
Agle, Axis 129.746710605669108, -0.129154819194739, -0.834200908178875, ,-0.536123005915914,-42.718409926295564,-322.29644,511.780453282343046,391.183638728007736,-596.120972933947428,834.842211359868429,-531.248322265896718,-460.621296807877400
Agle, Axis 122.542677861624867, -0.129103776511416, -0.834138363508618, ,-0.536232603833127,-42.782128883228609,-322.34424,511.723880680873265,439.855786130342722,-570.064009656927510,782.452027741556549,-571.447421747611770,-421.420204040540227
Agle, Axis 115.250276130099010, -0.129098985568438, -0.834118843113666, ,-0.536264121014934,-42.823320009657706,-322.33220,511.672883612076362,481.370582083241345,-539.668830803044330,725.043979646303114,-603.551765785510725,-379.991993441767477
Agle, Axis 107.966794625629205, -0.129152303313212, -0.834031509080836, ,-0.536387103134700,-42.898405123775717,-322.35705,511.564068342386179,514.301693606642630,-505.871901591996902,664.217636030857989,-626.563878975892976,-337.714412017491327
Agle, Axis 100.809494035886203, -0.129156235854583, -0.833958561801137, ,-0.536499565646100,-42.948150274671612,-322.37081,511.446674736435057,537.933976696868740,-469.722575287100767,602.051069374135523,-639.939619144147400,-295.936513925971099
Agle, Axis 35.935961148133231, -0.129945531683415, -0.833496600208215, ,-0.537026606637755,-42.710218692991802,-322.25685,510.496098640660364,343.153243556636085,-113.723786669310954,93.479005506381668,-359.411019730380758,-8.944273386412979
Agle, Axis 28.801852465717005, -0.129966129072683, -0.833563197134686, ,-0.536918244872031,-42.571399076598404,-322.21633,510.544230216320898,283.109700738787751,-82.882046832155638,60.053361889260827,-293.642622979224711,3.159989414667573
Agle, Axis 21.699931049764466, -0.130091304742032, -0.833685897911253, ,-0.536697378468001,-42.389921202270457,-322.13498,510.667572386178222,218.324017571762880,-55.874964122624668,33.715716157074894,-224.332109562808853,10.217493714019108
Agle, Axis 7.108145852720535, 0.131699019198860, 0.833318815225979, ,0.536875330530682,-42.280509257782036,-322.37036,510.743510711510623,-74.398715357569060,8.711905050833158,4.855990156289295,73.748809367469718,-13.667153558163513
Agle, Axis 14.297200418801749, 0.131440269748606, 0.833366261353867, ,0.536865094716999,-42.101580800562907,-322.42421,510.801143018606695,-149.153897517652211,12.305741217180024,17.705404397120219,146.545940330316625,-32.278115827971682
Agle, Axis 21.567338294954300, 0.131098104797451, 0.833631842181887, ,0.536536334854360,-41.868085156214349,-322.38073,511.122265704664301,-223.106999771492497,10.536066374064095,38.631870913382841,217.244310689100303,-55.678278386604269
Agle, Axis 28.840545487365127, 0.131546120764735, 0.833700252748834, ,0.536320339608969,-41.949630274444090,-322.34166,511.363481813959595,-294.194504582505033,3.624217997870826,67.206492472293576,283.788105468530034,-83.587163180630995
Agle, Axis 35.991309586072425, 0.131338075169237, 0.833819115104095, ,0.536186528456155,-41.886793899238782,-322.34075,511.529460781270529,-360.155335062422694,-8.467773802159762,102.250147647803487,344.163470293966839,-114.597973803321139
